Unnamed: 0,Site,Plot,Type,Location ,Year,A_ha,S,N,E,B,E_2_3,B_2_3,pBnum,pBnum_2_3,pB0,pB1,lambda_1,lambda_2,beta
0,Point Reyes National Seashore Bishop Pines,Mt. Vision,Temperate forest community,California USA,2012,0.0256,27,1844,2223879.0,123940275.0,2223879.0,929450153.0,58374353.040093176,343083013.63270056,66863056.30797203,56486421.65374283,0.0023824708092408213,1.2151023723748725e-05,0.00239462183296457
1,Point Reyes National Seashore Bishop Pines,Bayview,Temperate forest community,California USA,2012,0.0256,16,486,1585384.0,38793345.0,1585384.0,195083816.0,49149659.707112655,305606945.2625587,60040386.53146083,47296879.21874017,0.006115700450370885,1.0095286889124726e-05,0.006125795737260009
2,Hubbard Brook Experimental Forest,Watershed 6,Temperate trees,New Hampshire USA,2017,13.23,16,10230,55324.3,117597.1,55324.3,177121.1,308036.9693013356,950230.1671997709,390206.1177912631,367218.2985909835,-0.00022382233308223005,0.00035481202724069335,0.0001309896941584633
3,Kellogg Biological Station ,Deciduous Forest 1,Temperate trees,Michigan USA,2018,0.81 estimated,18,259,11105.48,57231.16,11105.48,134466.7,69451.5490948449,189700.13152548586,96127.1372466132,67709.49439015122,0.01489253961121583,0.0016595245646513893,0.01655206417586722
4,Kellogg Biological Station ,Deciduous Forest 2,Temperate trees,Michigan USA,2018,0.5 estimated,10,172,8115.7559999999985,43636.65,8115.7559999999985,104879.6,53628.42728664869,151600.8658944246,70032.56332283249,51951.57647445428,0.009766498897740259,0.0012588503473671651,0.011025349245107424
5,Kellogg Biological Station ,Deciduous Forest 3,Temperate trees,Michigan USA,2018,0.35 estimated,13,136,2820.0840000000007,10936.14,2820.0840000000007,22266.03,12811.131314438984,29580.194998061914,19057.949341422966,12634.006511390724,0.019692564758494964,0.004843365557858844,0.02453593031635381
6,SCBI Large Forest Dynamics Plot,Front Royal,Temperate trees,Virginia USA,2012,25.6,68,29986,11102334.0,153035741.0,11102334.0,592182133.0,293346571.73671114,1851878428.2059655,308860996.3916513,285514648.1104933,0.00027054873039206797,6.1414254682024085e-06,0.0002766901558602704
7,CSIRO permament rainforest plots of North Queensland,EP3,Tropical trees,Queensland Australia,1973,0.5,67,506,4074.955,11131.86,4074.955,19292.99,12179.098085242678,22609.22358898422,20776.305352033552,12527.305061496028,0.02132521191761943,0.018773002181310776,0.040098214098930204
8,CSIRO permament rainforest plots of North Queensland,EP18,Tropical trees,Queensland Australia,1975,0.5,79,452,3915.177,11332.63,3915.177,20270.64,11558.874196565492,21145.935269548507,21250.589623089912,11627.782383228207,0.03667507846809627,0.02281142430779599,0.059486502775892264
9,CSIRO permament rainforest plots of North Queensland,EP19,Tropical trees,Queensland Australia,1977,0.5,64,397,2482.458,6218.057,2482.458,10362.29,6471.372191074708,11146.90862946763,11925.201799009088,6730.766866020977,0.022258589591598023,0.030688702433710004,0.052947292025308026
