"spp","count","dbh"
"Alchornea pearcei",1,5
"Alchornea pearcei",1,14
"Alchornea pearcei",1,7
"Alchornea pearcei",1,2.5
"Alchornea pearcei",1,3
"Alchornea pearcei",1,2.5
"Alchornea pearcei",1,5
"Alchornea pearcei",1,2.5
"Alchornea pearcei",1,5
"Alchornea pearcei",1,7
"Alchornea pearcei",1,4
"Gaiadendron punctatum",1,3
"Gaiadendron punctatum",1,2.5
"Gaiadendron punctatum",1,4
"Gaiadendron punctatum",1,3
"Cyathea M1",1,6
"Melastomataceae Miconia M1",1,4
"Melastomataceae Miconia M1",1,3
"Melastomataceae Miconia M1",1,9
"Melastomataceae Miconia M1",1,3
"Melastomataceae Miconia M1",1,4
"Clusiaceae Clusia M5",1,3
"Clusiaceae Clusia M5",1,3
"Cyathea M1",1,6
"Cyathea M1",1,7
"Cyathea M1",1,6
"Melastomataceae Miconia M7",1,2.5
"Melastomataceae Miconia M7",1,2.5
"Melastomataceae Miconia M7",1,5
"Cunoniaceae Weinmannia M1",1,3
"Cunoniaceae Weinmannia M1",1,5
"Myrtaceae M1",1,2.5
"Chloranthaceae Hedyosmum M1",1,3
"Melastomataceae Miconia M2",1,3
"Melastomataceae Miconia M2",1,2.5
"Melastomataceae Miconia M2",1,2.5
"Rubiaceae Psychotria M1",1,2.5
"Araliaceae Schefflera M2",1,3
"Araliaceae Schefflera M2",1,2.5
"Araliaceae Schefflera M2",1,2.5
"Ericaceae M1",1,2.5
"Araliaceae Schefflera M4",1,2.5
"Araliaceae Schefflera M4",1,2.5
"Araliaceae Schefflera M4",1,3
"Araliaceae Schefflera M4",1,2.5
"Clusiaceae Vismia M1",1,8
"Caprifoliaceae Viburnum M1",1,3
"Clusiaceae Clusia M1",1,5
"Clusiaceae Clusia M1",1,2.5
"Clusiaceae Clusia M1",1,2.5
"Clusiaceae Clusia M4",1,6
"Clusiaceae Clusia M4",1,3
"Clusiaceae Clusia M4",1,2.5
"Clusiaceae Clusia M4",1,2.5
"Clusiaceae Clusia M4",1,5
"Clusiaceae Clusia M4",1,4
"Clusiaceae Clusia M4",1,15
"Cunoniaceae Weinmannia M4",1,2.5
