Site,Plot,Type,Location ,Year,A_ha,A_est,S,N,E,B,B_2_3,DBHmin_cm,meas_est,emin_g,Lat,Lon,Elev_m,pBnum,pB0,pB1,lambda_1,lambda_2,beta,Notes1,Notes2,Notes3,Notes4,E_2_3,pBnum_2_3
Point Reyes National Seashore Bishop Pines,Mt. Vision,Temperate forest community,California USA,2012,0.0256,N,27,1844,2223879.0,123940275.0,929450153.0,0.1,Y,,,,,58374353.040093176,66863056.30797203,56486421.65374283,0.0023824708092408213,1.2151023723748725e-05,0.00239462183296457,Newman et al,Ecosphere,,,2223879.0,343083013.63270056
Point Reyes National Seashore Bishop Pines,Bayview,Temperate forest community,California USA,2012,0.0256,N,16,486,1585384.0,38793345.0,195083816.0,0.1,Y,,,,,49149659.707112655,60040386.53146083,47296879.21874017,0.006115700450370885,1.0095286889124726e-05,0.006125795737260009,Newman et al,Ecosphere,"duplicate dbh removed, uncored tree added in from appendix",,1585384.0,305606945.2625587
Hubbard Brook Experimental Forest,Watershed 6,Temperate trees,New Hampshire USA,2017,13.23,N,16,10230,55324.3,117597.1,177121.1,10.0,N,,43.95,-71.74,,308036.9693013356,390206.1177912631,367218.2985909835,-0.00022382233308223005,0.00035481202724069335,0.0001309896941584633,https://hubbardbrook.org/watersheds/watershed-6,https://hubbardbrook.org/watersheds/watershed-6-zonation-maps,https://portal.edirepository.org/nis/metadataviewer?packageid=knb-lter-hbr.239.1,"had to drop all dbh and associated N, S) below 10 cm because it was collected in a different way",55324.3,950230.1671997709
Kellogg Biological Station ,Deciduous Forest 1,Temperate trees,Michigan USA,2018,0.81,Y,18,259,11105.48,57231.16,134466.7,5.425,N,,,,,69451.5490948449,96127.1372466132,67709.49439015122,0.01489253961121583,0.0016595245646513893,0.01655206417586722,https://portal.edirepository.org/nis/metadataviewer?packageid=knb-lter-kbs.45.54,,,,11105.48,189700.13152548586
Kellogg Biological Station ,Deciduous Forest 2,Temperate trees,Michigan USA,2018,0.5,Y,10,172,8115.7559999999985,43636.65,104879.6,5.125,N,,,,,53628.42728664869,70032.56332283249,51951.57647445428,0.009766498897740259,0.0012588503473671651,0.011025349245107424,https://portal.edirepository.org/nis/metadataviewer?packageid=knb-lter-kbs.45.54,,,,8115.7559999999985,151600.8658944246
Kellogg Biological Station ,Deciduous Forest 3,Temperate trees,Michigan USA,2018,0.35,Y,13,136,2820.0840000000007,10936.14,22266.03,5.3,N,,,,,12811.131314438984,19057.949341422966,12634.006511390724,0.019692564758494964,0.004843365557858844,0.02453593031635381,https://portal.edirepository.org/nis/metadataviewer?packageid=knb-lter-kbs.45.54,,,,2820.0840000000007,29580.194998061914
SCBI Large Forest Dynamics Plot,Front Royal,Temperate trees,Virginia USA,2012,25.6,N,68,29986,11102334.0,153035741.0,592182133.0,1.0,N,,,,,293346571.73671114,308860996.3916513,285514648.1104933,0.00027054873039206797,6.1414254682024085e-06,0.0002766901558602704,https://esapubs.org/archive/ecol/E094/195/,https://esapubs.org/archive/ecol/E094/195/metadata.php,,,11102334.0,1851878428.2059655
CSIRO permanent rainforest plots of North Queensland,EP3,Tropical trees,Queensland Australia,1973,0.5,N,67,506,4074.955,11131.86,19292.99,10.0,N,,,,,12179.098085242678,20776.305352033552,12527.305061496028,0.02132521191761943,0.018773002181310776,0.040098214098930204,https://data.csiro.au/collections/collection/CI23294,,,,4074.955,22609.22358898422
CSIRO permanent rainforest plots of North Queensland,EP18,Tropical trees,Queensland Australia,1975,0.5,N,79,452,3915.177,11332.63,20270.64,10.0,N,,,,,11558.874196565492,21250.589623089912,11627.782383228207,0.03667507846809627,0.02281142430779599,0.059486502775892264,,,,,3915.177,21145.935269548507
CSIRO permanent rainforest plots of North Queensland,EP19,Tropical trees,Queensland Australia,1977,0.5,N,64,397,2482.458,6218.057,10362.29,10.0,N,,,,,6471.372191074708,11925.201799009088,6730.766866020977,0.022258589591598023,0.030688702433710004,0.052947292025308026,,,,,2482.458,11146.90862946763
CSIRO permanent rainforest plots of North Queensland,EP29,Tropical trees,Queensland Australia,1981,0.5,N,49,487,2634.251,5684.6309999999985,8668.003,10.0,N,,,,,6895.673229931948,11538.533149144068,7497.785921511836,0.004694475961341631,0.02281987527308172,0.02751435123442335,,,,,2634.251,12084.804828139993
CSIRO permanent rainforest plots of North Queensland,EP30,Tropical trees,Queensland Australia,1976,0.5,N,66,552,3737.412,9528.809,15943.01,10.0,N,,,,,10540.271333102937,17823.629542607807,11072.684328934096,0.014092734942281915,0.020719454814636225,0.03481218975691814,,,,,3737.412,19068.849835485962
CSIRO permanent rainforest plots of North Queensland,EP31,Tropical trees,Queensland Australia,1978,0.5,N,47,236,2544.609,8096.39,15116.9,10.0,N,,,,,8035.359140875196,15259.196330268973,7894.39506463311,0.05167154177209189,0.020358579560246018,0.07203012133233791,,,,,2544.609,15145.645044623747
CSIRO permanent rainforest plots of North Queensland,EP32,Tropical trees,Queensland Australia,1983,0.5,N,51,437,1887.393,4519.255,7595.75,10.0,N,,,,,4346.291808453802,7734.365286890829,4837.196095654938,-0.0014905224749627022,0.03516288343917821,0.033672360964215504,,,,,1887.393,7097.923930048902
CSIRO permanent rainforest plots of North Queensland,EP33,Tropical trees,Queensland Australia,1990,0.5,N,43,307,4435.325,15840.59,32032.39,10.0,N,,,,,16563.747607914986,27643.18911156299,16376.33662295858,0.03296214323401858,0.010415846620602787,0.043377989854621365,,,,,4435.325,34290.67699068196
CSIRO permanent rainforest plots of North Queensland,EP34,Tropical trees,Queensland Australia,1984,0.5,N,59,290,3040.91,9044.354,16318.1,10.3,N,,,,,9468.287176787711,18157.383671712047,9300.726175241936,0.052901661162193754,0.021447448298926537,0.07434910946112029,,,,,3040.91,17710.69442684836
CSIRO permanent rainforest plots of North Queensland,EP40,Tropical trees,Queensland Australia,1998,0.5,N,48,477,3859.423,11095.37,19941.36,10.0,N,,,,,12066.053227010054,19333.48135208967,12562.585243059468,0.013328093697309685,0.01419101040881049,0.027519104106120174,,,,,3859.423,23114.627556071748
CSIRO permanent rainforest plots of North Queensland,EP41,Tropical trees,Queensland Australia,1983,0.5,N,50,369,2775.138,6739.585,10840.03,10.0,N,,,,,8031.567003573675,13862.971399752369,8299.423223941098,0.020630515605817492,0.020780188002516898,0.04141070360833439,,,,,2775.138,14660.877243989167
CSIRO permanent rainforest plots of North Queensland,EP42,Tropical trees,Queensland Australia,1977,0.5,N,58,243,2732.4790000000007,9317.053,18082.58,10.0,N,,,,,8535.921832270407,17454.615736225078,8227.767707808543,0.07133770903580039,0.02329804750311209,0.09463575653891249,,,,,2732.4790000000007,15922.508424700532
CSIRO permanent rainforest plots of North Queensland,EP43,Tropical trees,Queensland Australia,1984,0.5,N,59,385,4151.287,12856.02,23767.19,10.0,N,,,,,13648.055383158384,23736.88599140053,13643.572844066386,0.03359035290297466,0.015665295820525626,0.04925564872350029,,,,,4151.287,26449.337443544347
CSIRO permanent rainforest plots of North Queensland,EP44,Tropical trees,Queensland Australia,1990,0.5,N,58,443,3779.391,10811.51,19266.65,10.0,N,,,,,11588.96856717075,19621.50197961263,11871.711423709447,0.02208885992687247,0.017384053607625724,0.039472913534498194,,,,,3779.391,21798.576961877952
RMBL,Belleview,Subalpine meadow flora,Colorado USA,2012,0.0064,N,31,877,917872.0,17532137.0,81474199.0,,N,,,,,19289184.007295076,23932917.164217446,18596954.255934134,0.00706650744159642,3.3806073097454184e-05,0.007100313514693874,,,,,917872.0,98443525.98794076
BCI,CTFS,Tropical trees,Panama,1982,50.0,N,307,235338,23944860.0,405723649.0,1913213810.0,10.0,N,,,,,462468073.2233975,483754150.09153587,454077521.7431179,0.00013496095422886923,1.294838419770757e-05,0.0001479093384265768,http://ctfs.si.edu/webatlas/datasets/bci/,,,,23944860.0,2553872013.5158873
Cocoli,CTFS,Tropical trees,Panama,1997,2.0,N,171,8290,1717206.0,29636476.0,132037706.0,1.0,N,,,,,23311229.619578764,27551152.86325017,22621175.734908324,0.003570573386678772,0.00010006343202357518,0.003670636818702347,http://ctfs.si.edu/webatlas/datasets/cocoli/,http://ctfs.si.edu/webatlas/datasets/bci/Terms%20and%20conditions.htm,https://datadryad.org/stash/dataset/doi:10.15146/5xcp-0d46,,1717206.0,97402285.68104886
Sherman,CTFS,Tropical trees,Panama,1997,5.96,N,225,24453,2325982.0,24937441.0,89063010.0,1.0,N,,,,,28586401.88911199,32150196.86072248,27979182.115782954,0.0013011828003915205,9.776109707937636e-05,0.0013989438974708968,http://ctfs.si.edu/webatlas/datasets/sherman/,,,,2325982.0,117055646.65883468
