site,S,N,E,B,pBnum,pB0,pB1
bci,305,229000,19750000,266500000,358561022.35836446,376009597.209976,352761923.2570757
cocoli,154,6823,1269000,21920000,16314272.189761357,19440863.71688893,15832810.10039418
sherman,200,8249,943400,10760000,10136007.347042764,12194047.469050158,9864067.001324829
pasoh,802,321539,20452000,220647000,289845692.1045719,310534622.87072605,286194769.5148536
ucsc,31,8376,9001000,193300000,304393518.1722279,324769552.3412732,295382374.0922711
vision,27,1844,3004000,107490000,87183009.43647544,99840004.12724966,84345599.53507304
bayview,16,486,406800,7642000,8007664.852260546,9789761.47919555,7711895.159421808
subalpine,31,877,917900,17530000,19289969.07415084,23933890.611622784,18597710.668399166
volcano,167,1909,88120,424300,543388.0588036972,785405.3941911095,527034.7802510228
lanai,123,2253,41210,165800,197902.68775448605,271498.7096773524,198750.64704222034
kohala,240,6048,87170,339500,404787.8006706709,540253.8421848757,413749.3784587113
molokai,178,3865,102200,413500,580622.7430391101,767888.6379711685,576470.3519777096
kauai,158,1922,46470,137900,230065.50988974792,333574.24260488304,226819.96448600266
invertebrates,11,414,2541,5550,8666.407203897763,11705.943494848145,9573.673169474954
